ds;dt;P;V
2019-01-27 14:00;639;1.349;5.6
2019-01-27 15:00;640;0.9445;6
2019-01-27 16:00;641;0.6191;4.5
2019-01-27 17:00;642;0.1307;3.9
2019-01-27 18:00;643;0.1617;3.1
2019-01-27 19:00;644;0.2858;2.9
2019-01-27 20:00;645;0.2996;3.9
2019-01-27 21:00;646;0.2462;3.5
2019-01-27 22:00;647;0.0805;3
2019-01-27 23:00;648;0.5854;2.4
2019-01-28 00:00;649;1.7127;5.3
2019-01-28 01:00;650;1.7239;6.6
2019-01-28 02:00;651;1.1048;6.2
2019-01-28 03:00;652;0.3109;5.1
