i;P;dt
0;0;1710
1;0;1711
9;0.3170;1712
155;1.5730;1713
374;2.7080;1714
583;3.4660;1715
749;3.6080;1716
857;3.5630;1717
868;3.6080;1718
851;3.4070;1719
775;2.9880;1720
599;2.1440;1721
334;1.1210;1722
109;0.1860;1723
6;0;1724
0;0;1725
0;0;1726
0;0;1727
0;0;1728
0;0;1729
0;0;1730
0;0;1731
0;0;1732
0;0;1733
0;0;1734
1;0;1735
11;0.3460;1736
165;1.6440;1737
393;2.8010;1738
630;3.6130;1739
758;4.0530;1740
620;4.1620;1741
481;4.0750;1742
698;3.7610;1743
559;3.2530;1744
416;2.2870;1745
204;1.2520;1746
50;0.2100;1747
5;0;1748
0;0;1749
0;0;1750
0;0;1751
0;0;1752
0;0;1753
0;0;1754
0;0;1755
0;0;1756
0;0;1757
0;0;1758
2;0;1759
12;0.3590;1760
166;1.6760;1761
390;2.8430;1762
601;3.6860;1763
770;4.2040;1764
877;4.4300;1765
898;4.3850;1766
766;4.0690;1767
625;3.4550;1768
515;2.4200;1769
348;1.0960;1770
130;0.1300;1771
10;0;1772
0;0;1773
0;0;1774
0;0;1775
0;0;1776
0;0;1777
0;0;1778
0;0;1779
0;0;1780
0;0;1781
0;0;1782
1;0;1783
7;0.2170;1784
84;0.9980;1785
